Survey,Version,Item Concept,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Field Annotation,Generalized Answer Codes,Registered Tier Rules,Controlled Tier Rules
Personal Medical History,,circulatory_howoldwereyoutransientischemicattack,personal_medical_history,,radio,About how old were you when you were first told you had transient ischemic attacks (TIAs or mini-strokes)?,"HowOldWereYouTransientIschemicAttack_Child, Child (0-11) | HowOldWereYouTransientIschemicAttack_Adolescent, Adolescent (12-17) | HowOldWereYouTransientIschemicAttack_Adult, Adult (18-64) | HowOldWereYouTransientIschemicAttack_OlderAdult, Older adult (65-74) | HowOldWereYouTransientIschemicAttack_Elderly, Elderly (75+)",,,,[circulatory_circulatoryconditions(CirculatoryConditions_TransientIschemicAttack)] = '1',,,,,,
Family Health History,,cancercondition_breastcancer_yes,family_health_history,,checkbox,Who in your family has had breast cancer? Select all that apply.,"MotherCancerCondition_BreastCancer, Mother | FatherCancerCondition_BreastCancer, Father | SiblingCancerCondition_BreastCancer, Sibling | DaughterCancerCondition_BreastCancer, Daughter | SonCancerCondition_BreastCancer, Son | GrandparentCancerCondition_BreastCancer, Grandparent",,,,[diagnosedhealthcondition_cancercondition(CancerCondition_BreastCancer)] = '1',,,,,,
COPE,"May, June, July",phq_9_2,covid19_participant_experience_cope_survey,,radio,"In the past 2 weeks, how often have you been bothered by:
 Feeling down, depressed, or hopeless","COPE_A_168, Not at all | COPE_A_111, Several days | COPE_A_75, More than half the days | COPE_A_161, Nearly every day",,,,,,LV,,,,
Personal Medical History,,mentalhealth_howoldwereyouothermentalhealthsubstanceuse,personal_medical_history,,radio,About how old were you when you were first told you had other mental health or substance use condition?,"HowOldWereYouOtherMentalHealthSubstanceUse_Child, Child (0-11) | HowOldWereYouOtherMentalHealthSubstanceUse_Adolescent, Adolescent (12-17) | HowOldWereYouOtherMentalHealthSubstanceUse_Adult, Adult (18-64) | HowOldWereYouOtherMentalHealthSubstanceUse_OlderAdult, Older adult (65-74) | HowOldWereYouOtherMentalHealthSubstanceUse_Elderly, Elderly (75+)",,,,[mentalhealth_mentalhealthcondition(MentalHealthCondition_OtherMentalHealthSubstanceUse)] = '1',,,"mentalhealth_howoldwereyouothermentalhealthsubstanceuse=MentalHealthCondition_OtherHowOld,
HowOldWereYouOtherMentalHealthSubstanceUse_Adolescent=MentalHealthCondition_OtherAdolescent,
HowOldWereYouOtherMentalHealthSubstanceUse_Elderly=MentalHealthCondition_OtherElderly,
HowOldWereYouOtherMentalHealthSubstanceUse_OlderAdult=MentalHealthCondition_OtherOlderAdult",,,
COPE,"May, June, July",phq_9_3,covid19_participant_experience_cope_survey,,radio,"In the past 2 weeks, how often have you been bothered by:
 Trouble falling or staying asleep, or sleeping too much","COPE_A_168, Not at all | COPE_A_111, Several days | COPE_A_75, More than half the days | COPE_A_161, Nearly every day",,,,,,LV,,,,
Social Determinants of Health,,ips_3,social_determinants_of_health_english,,radio,"It is within a 10-15 minute walk to a transit stop (such as bus, train, trolley, or tram) from my home. Would you say that you...","SDOH_5, Strongly disagree | SDOH_6, Somewhat disagree | SDOH_7, Somewhat agree | SDOH_1, Strongly agree | PMI_DontKnow, Don't know/Not sure",,,,,,,,,,
Personal Medical History,,circulatory_rxmedsforsicklecelldisease,personal_medical_history,,radio,Are you currently prescribed medications and/or receiving treatment for sickle cell disease?,"RxMedsforSickleCellDisease_Yes, Yes | RxMedsforSickleCellDisease_No, No",,,,[circulatory_circulatoryconditions(CirculatoryConditions_SickleCellDisease)] = '1',,,,,,
Personal Medical History,,infectiousdiseases_howoldwereyoustis,personal_medical_history,,radio,"About how old were you when you were first told you had sexually transmitted infections (Gonorrhea, Syphilis, Chlamydia)?","HowOldWereYouSTIs_Child, Child (0-11) | HowOldWereYouSTIs_Adolescent, Adolescent (12-17) | HowOldWereYouSTIs_Adult, Adult (18-64) | HowOldWereYouSTIs_OlderAdult, Older adult (65-74) | HowOldWereYouSTIs_Elderly, Elderly (75+)",,,,[infectiousdiseases_infectiousdiseasecondition(InfectiousDiseaseCondition_SexuallyTransmittedInfections)] = '1',,,,,,
Lifestyle,,attemptquitsmoking_completelyquitage,lifestyle,,text,Age when you stopped smoking:,,integer,1,99,[attemptquitsmoking_completelyquit] = 'attemptquitsmoking_completelyquit_enterage',,LV,,,,
Basics,,employmentworkaddress_zipcode,the_basics,,text,Zip Code,,zipcode,,,[employment_employmentworkaddress] = 'employment_employmentworkaddress',,LV,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
